ID,Título,Marca,Categoría,Duración,Público,Tono,Tema,Género,Estilo_Visual,Carpeta
01,THE UNIFORM DENIM,THE UNIFORM DENIM,Moda,10s,"Global, Gen Z","cinematográfico, sensual, lujoso sin esfuerzo","la elegancia se encuentra con el tejido crudo","teaser de moda corta","minimalista, premium, hyper-aesthetic",moda
02,ARKHE - Bolso Arquitectónico,ARKHE,Moda,10s,"Arte, Lujo Disruptivo","monumental, surrealista, épico, high-fashion","la geometría se encuentra con el tacto","teaser de accesorios de lujo","arquitectónico, escultural, hiperrealista",moda
03,THE REDEEMER PUFFER,MONCLER x RIO,Moda,10s,"Arte, Lujo Disruptivo","monumental, surrealista, épico","la trascendencia envuelta en el lujo","teaser de Colaboración de Marca","Cinematográfico 70mm, hiperrealista",moda
04,SERPENS - GREEN VENOM,SERPENS,Moda,10s,"Moda Vanguardista, Tendencias","misterioso, edgy, sensual","la mirada que domina","teaser de accesorios de alta costura","Cinematográfico, neo-noir futurista",moda
05,TIGERS REWIND,RETRORUN,Moda,10s,"Generación Z, Streetwear","enérgico, vintage pero fresh, audaz","la velocidad del pasado en el presente","teaser de calzado Retro-Moderno","Fast-cut videoclip 90s/2000s",moda
06,MOULIN ROUGE Perfume,MOULIN ROUGE,Perfume,12s,"Público general, lujo","dramático, cinematográfico, sensual","la elegancia se encuentra con el deseo","anuncio de perfume cinematográfico","cinematográfico, iluminación de alto contraste",perfume
07,N5 CHANEL,N5 CHANEL PPFNG,Perfume,10s,"Global, Lujo Clásico","sereno, etéreo, acuático, lujoso atemporal","la belleza florece en la calma","teaser de perfume de formato corto","meditativo, clásico, premium",perfume
08,THE RED WAGON,Mercedes G-Wagon,Automoción,10s,"Global, Aventura y Lujo","épico, atemporal, poderoso, minimalista","la atemporalidad se encuentra con el dominio del terreno","teaser de automóvil Aventura/Lujo","Cinematográfico pantalla ancha, minimalista, épico",automotive
09,VELOCITY - Football Boots,VELOCITY,Deportes,10s,"Deportistas, Jóvenes","intenso, dramático, épico, vertiginoso","el momento que lo define todo","teaser de producto deportivo","Cinematográfico, alto contraste, dinámico",deportes
10,ZENITH - THE APEX,ZENITH,Deportes,10s,"Deportistas de Invierno, Aventura Extrema","épico, frenético, técnico","la velocidad no conoce el frío","teaser de Ropa Técnica de Rendimiento","Cinematográfico, slow motion extremo",deportes
11,HOROLOGE NOBLE,HOROLOGE NOBLE,Lujo y Joyería,10s,"Alta sociedad, Coleccionistas","sofisticado, atemporal, artesanal","el tiempo como arte","anuncio de reloj de lujo","Macro extremo, cinematográfico",lujo
12,CARTIER TANK,CARTIER,Lujo y Joyería,10s,"Mujeres, Alta costura","elegante, atemporal, femenino, sofisticado","la forma como poder","anuncio de reloj clásico","Cinematográfico, iluminación dramática",lujo
13,CONCRETE Motion Logo,CONCRETE,Motion Graphics,10s,"Diseño Gráfico, Cultura Urbana","dinámico, jugueón, glitch, alta energía","identidad en constante evolución","motion graphic Identidad de marca","Estética de sticker digital, mashup retro",motion-graphics
14,THE CUBE JUMP,STUDIO X,Motion Graphics,10s,"Cine, Animación, Público General","jugueón, nostálgico, moderno","la identidad lúdica de un estudio","logo reveal intro de estudio","Animación 3D fotorrealista cartoon",motion-graphics
15,PANOD - Pan Artesanal,PANOD,Alimentos,10s,"EU, Gourmet","cálido, lujoso, sensorial","el arte se encuentra con el pan","elegancia culinaria de formato corto","texturas minimalistas, premium",alimentos
16,BODEGA LEGADO REAL,LEGADO REAL,Bebidas,12s,"España, Audiencia Madura 45+","solemne, tradicional, reflexivo, sensual","la paciencia como el ingrediente final","teaser de vino de lujo","Cinematográfico, slow motion extremo",bebidas
17,PAZ Y SABOR,PAZ Y SABOR,Mascotas,10s,"Dueños de Mascotas, Familias","cálido, tierno, divertido, satisfactorio","la nutrición que une","teaser de producto de consumo Pet Food","Estilo cinemagraph de hogar",mascotas
18,COLLECTIVE BLANK,COLLECTIVE BLANK,Art Toys,10s,"Coleccionistas, Arte Urbano","misterioso, conceptual, minimal","el vacío como lienzo","teaser de Art Toy","Minimalista, galería, iluminación dramática",art-toys
19,Fast & Furious Trailer,VELOCIDAD ABSOLUTA,Cine,45s,"Acción, Público masivo","intenso, dramático familia, épico","la familia como nica defensa","Tráiler de Acción","Cinematografía de Acción, Alto Contraste",cine
20,WHITE SOLSTICE,WHITE SOLSTICE,Cine,12s,"Terror, Thriller psicológico","perturbador, opresivo, inquietante","la luz que ciega","Terror psicológico ritual","Chiaroscuro extremo, 4K IMAX",cine
21,CRÓN ICAS DE XANTOS,CRÓN ICAS DE XANTOS,Cine,15s,"Ciencia Ficción, Fantasía épica","épico, contemplativo, majestuoso, inmenso","el asombro de lo desconocido","Escena de Película Ciencia Ficción","Fotorrealismo extremo, escala épica",cine
